Election,Winner,HW,Main opponent,HO,
,in Electoral College,,during election,,
1852,Franklin Pierce,178 cm,Winfield Scott[65],196 cm,18 cm
1880,James A. Garfield,183 cm,Winfield Hancock[58],187 cm,4 cm
1908,William Howard Taft,182 cm,William Jennings Bryan[53][54][55][56],180 cm,2 cm
1900,William McKinley,170 cm,William Jennings Bryan,180 cm,10 cm
1896,William McKinley,170 cm,William Jennings Bryan,180 cm,10 cm
1912,Woodrow Wilson,180 cm,William Howard Taft,182 cm,2 cm
,,,Theodore Roosevelt,178 cm,2 cm
1824,John Quincy Adams,171 cm,William H. Crawford[69][70],191 cm,20 cm
,,,Andrew Jackson**,185 cm,14 cm
,,,Henry Clay,185 cm,14 cm
1940,Franklin D. Roosevelt,188 cm,Wendell Willkie[50][51],189 cm,1 cm
1984,Ronald Reagan,185 cm,Walter Mondale[13],180 cm,5 cm
1796,John Adams,170 cm,Thomas Jefferson,189 cm,19 cm
1948,Harry S. Truman,175 cm,Thomas Dewey[49][50],173 cm,2 cm
1944,Franklin D. Roosevelt,188 cm,Thomas Dewey,173 cm,15 cm
1876,Rutherford B. Hayes,174 cm,Samuel Tilden*[59],178 cm,4 cm
1816,James Monroe,183 cm,Rufus King,,
1960,John F. Kennedy,185 cm,Richard Nixon,182 cm,3 cm
2012,Barack Obama,185 cm,Mitt Romney[45],187 cm,2 cm
1856,James Buchanan,183 cm,Millard Fillmore,175 cm,8 cm
,,,John C. Frémont[64],175 cm,8 cm
1988,George H.W. Bush,188 cm,Michael Dukakis[49],173 cm,15 cm
1840,William Henry Harrison,173 cm,Martin Van Buren,168 cm,5 cm
1848,Zachary Taylor,173 cm,Lewis Cass[66],174 cm,1 cm
1924,Calvin Coolidge,178 cm,John W. Davis[50],180 cm,2 cm
1828,Andrew Jackson,185 cm,John Quincy Adams,171 cm,14 cm
2008,Barack Obama,185 cm,John McCain[46],175 cm,10 cm
2004,George W. Bush,182 cm,John Kerry[23],193 cm,11 cm
1860,Abraham Lincoln,193 cm,John C. Breckinridge[62],188 cm,5 cm
,,,Stephen A. Douglas[63],163 cm,30 cm
1800,Thomas Jefferson,189 cm,John Adams,170 cm,19 cm
1980,Ronald Reagan,185 cm,Jimmy Carter,177 cm,8 cm
1920,Warren G. Harding,183 cm,James M. Cox[52],168 cm,15 cm
1884,Grover Cleveland,180 cm,James G. Blaine[57],180 cm,0 cm
1836,Martin Van Buren,168 cm,Hugh Lawson White[68],180 cm,12 cm
,,,William Henry Harrison,173 cm,5 cm
1968,Richard Nixon,182 cm,Hubert Humphrey[50],180 cm,2 cm
1868,Ulysses S. Grant,173 cm,Horatio Seymour,,
1872,Ulysses S. Grant,173 cm,Horace Greeley[60],178 cm,5 cm
2016,Donald Trump[8],191 cm,Hillary Clinton*[44],165 cm,26 cm
1932,Franklin D. Roosevelt,188 cm,Herbert Hoover,182 cm,6 cm
1844,James K. Polk,173 cm,Henry Clay[67],185 cm,12 cm
1832,Andrew Jackson,185 cm,Henry Clay,185 cm,0 cm
1888,Benjamin Harrison,168 cm,Grover Cleveland*,180 cm,12 cm
1976,Jimmy Carter,177 cm,Gerald Ford,183 cm,6 cm
1972,Richard Nixon,182 cm,George McGovern[23][50],185 cm,3 cm
1992,Bill Clinton,188 cm,George H.W. Bush,188 cm,0 cm
1864,Abraham Lincoln,193 cm,George B. McClellan[61],173 cm,20 cm
1812,James Madison,163 cm,DeWitt Clinton[71],191 cm,28 cm
1916,Woodrow Wilson,180 cm,Charles Evans Hughes[50],178 cm,2 cm
1808,James Madison,163 cm,Charles C. Pinckney,175 cm,12 cm
1804,Thomas Jefferson,189 cm,Charles C. Pinckney,175 cm,14 cm
1996,Bill Clinton,188 cm,Bob Dole[48],187 cm,1 cm
1892,Grover Cleveland,180 cm,Benjamin Harrison,168 cm,12 cm
1964,Lyndon B. Johnson,192 cm,Barry Goldwater[50],180 cm,12 cm
1904,Theodore Roosevelt,178 cm,Alton B. Parker[50],175 cm,3 cm
1936,Franklin D. Roosevelt,188 cm,Alfred Landon[50],180 cm,8 cm
1928,Herbert Hoover,182 cm,Al Smith[50],180 cm,2 cm
2000,George W. Bush,182 cm,Al Gore*[13][47],185 cm,3 cm
1956,Dwight D. Eisenhower,179 cm,Adlai Stevenson II[50],178 cm,1 cm
1952,Dwight D. Eisenhower,179 cm,Adlai Stevenson II,178 cm,1 cm
1820,James Monroe†,183 cm,,,
1792,George Washington†,188 cm,,,
1789,George Washington†,188 cm,,,
